Date,Sales,Baseline_Pred,ARIMA_Pred,Prophet_Pred
2017-10-31,523.928,1274.480857142857,2430.1149605498344,2470.4845525193373
2017-11-01,2921.43,1274.480857142857,2430.1149605498344,1628.619213923038
2017-11-02,6294.386,1274.480857142857,2430.1149605498344,2697.5632741975787
2017-11-03,4536.937,1274.480857142857,2430.1149605498344,3260.787490081716
2017-11-04,10668.096,1274.480857142857,2430.1149605498344,3089.631592398804
2017-11-05,2355.064,1274.480857142857,2430.1149605498344,3291.83996824269
2017-11-06,4288.75,1274.480857142857,2430.1149605498344,3616.9512733816464
2017-11-07,2413.378,1274.480857142857,2430.1149605498344,3080.983433196757
2017-11-08,384.1,1274.480857142857,2430.1149605498344,2191.7373725662674
2017-11-09,4751.492,1274.480857142857,2430.1149605498344,3207.598369060309
2017-11-10,4007.5480000000002,1274.480857142857,2430.1149605498344,3713.0482024307985
2017-11-11,1815.2179999999998,1274.480857142857,2430.1149605498344,3480.519385913116
2017-11-12,2911.386,1274.480857142857,2430.1149605498344,3618.9104408513936
2017-11-13,6633.4202000000005,1274.480857142857,2430.1149605498344,3878.9534288709565
2017-11-14,834.6579999999999,1274.480857142857,2430.1149605498344,3277.8756212909757
2017-11-15,559.2,1274.480857142857,2430.1149605498344,2324.6791100307646
2017-11-16,4755.234,1274.480857142857,2430.1149605498344,3278.917751174647
2017-11-17,13694.8828,1274.480857142857,2430.1149605498344,3726.1851337242188
2017-11-18,1469.756,1274.480857142857,2430.1149605498344,3439.945389694083
2017-11-19,7397.272,1274.480857142857,2430.1149605498344,3530.026336916831
2017-11-20,2988.274,1274.480857142857,2430.1149605498344,3747.9666851109396
2017-11-21,2236.1839999999997,1274.480857142857,2430.1149605498344,3111.6596752190057
2017-11-22,35.712,1274.480857142857,2430.1149605498344,2130.617408057901
2017-11-23,1153.109,1274.480857142857,2430.1149605498344,3064.735654834155
2017-11-24,4959.641,1274.480857142857,2430.1149605498344,3499.7731820086965
2017-11-25,3666.157,1274.480857142857,2430.1149605498344,3209.1776752040196
2017-11-26,5048.1720000000005,1274.480857142857,2430.1149605498344,3302.5779423990007
2017-11-27,1618.254,1274.480857142857,2430.1149605498344,3531.134229178929
2017-11-28,6912.944,1274.480857142857,2430.1149605498344,2912.18902709191
2017-11-29,491.888,1274.480857142857,2430.1149605498344,1954.5425480752394
2017-11-30,6645.282,1274.480857142857,2430.1149605498344,2917.2324800719507
2017-12-01,5331.178,1274.480857142857,2430.1149605498344,3385.0317862005786
2017-12-02,9951.182,1274.480857142857,2430.1149605498344,3130.2962737485377
2017-12-03,1403.842,1274.480857142857,2430.1149605498344,3261.481172794465
2017-12-04,2639.638,1274.480857142857,2430.1149605498344,3528.5180435831167
2017-12-05,1453.136,1274.480857142857,2430.1149605498344,2947.4938174089552
2017-12-06,10.68,1274.480857142857,2430.1149605498344,2025.955517622508
2017-12-07,2916.514,1274.480857142857,2430.1149605498344,3021.719613286393
2017-12-08,7643.041,1274.480857142857,2430.1149605498344,3518.399084437126
2017-12-09,5470.39,1274.480857142857,2430.1149605498344,3287.2792368626797
2017-12-10,3873.5589999999997,1274.480857142857,2430.1149605498344,3435.8608294784767
2017-12-11,2823.965,1274.480857142857,2430.1149605498344,3713.2611850093845
2017-12-12,0.0,1274.480857142857,2430.1149605498344,3134.9144846332574
2017-12-13,580.936,1274.480857142857,2430.1149605498344,2207.8942490922477
2017-12-14,3897.714,1274.480857142857,2430.1149605498344,3189.736488786176
2017-12-15,306.88800000000003,1274.480857142857,2430.1149605498344,3663.976218692218
2017-12-16,858.702,1274.480857142857,2430.1149605498344,3402.028090500215
2017-12-17,2027.758,1274.480857142857,2430.1149605498344,3511.729525851226
2017-12-18,3645.911,1274.480857142857,2430.1149605498344,3742.736954394418
2017-12-19,1895.926,1274.480857142857,2430.1149605498344,3111.2164062040993
2017-12-20,377.736,1274.480857142857,2430.1149605498344,2125.1516262065434
2017-12-21,2140.94,1274.480857142857,2430.1149605498344,3043.1484724649968
2017-12-22,7442.021,1274.480857142857,2430.1149605498344,3449.9486825060103
2017-12-23,1926.776,1274.480857142857,2430.1149605498344,3118.2842495185214
2017-12-24,6233.054,1274.480857142857,2430.1149605498344,3157.3913724087415
2017-12-25,2698.927,1274.480857142857,2430.1149605498344,3318.375241250521
2017-12-26,814.5939999999999,1274.480857142857,2430.1149605498344,2618.86762823478
2017-12-27,177.636,1274.480857142857,2430.1149605498344,1568.3012182873815
2017-12-28,1657.3508000000002,1274.480857142857,2430.1149605498344,2426.6802355998047
2017-12-29,2915.534,1274.480857142857,2430.1149605498344,2780.06125341597
2017-12-30,713.7900000000001,1274.480857142857,2430.1149605498344,2402.376221464593
